Refractive Indices,Thicknesses
"1.7048961061236976,1.1881438130207702,2.268992915287799,1.1144888603950156","359.9151034898616,281.16709156049967,367.7101395852415,395.1217385369165"
"1.1965478551046114,1.6497814183392747,1.548864882305283,2.3180152224964776","481.6019490089475,191.99790637525464,378.3880366487673,219.34319153263914"
"1.6213905854940118,1.2914931167119192,2.3791568764642665,1.1295996745743198","416.0580857529874,343.06350282829317,290.7516243918403,313.2235983948184"
"1.057237756143609,1.1962879201285075,1.566258189150402,1.1938284776168167","446.3431704286734,349.4758546647871,169.8974849844058,154.3417142166166"
"1.569168595829575,1.4448462040634311,1.886729871416152,1.744427342617607","136.92257290558587,369.31157273136523,291.16203862334726,436.2565610127901"
"1.6111970845418562,1.5379056297679699,1.0168280426979828,1.8771960363331381","455.3724159480529,125.86139913346187,170.30896959753875,312.38963575643993"
"1.931848107361414,1.936353182414701,1.2492274448539387,1.6433964540942418","346.8582087847451,456.7903745715255,160.7289514559339,488.6056504268839"
"1.8865984961563904,1.8673253823720826,1.3994757164250824,1.0867698129407222","398.9671433325403,437.8637941676145,137.57946733813117,186.98488388795874"
"1.0745090105281099,1.6448267059547337,2.4029496104665222,2.2349750102448143","314.31406382593025,258.9786516260379,408.72256443035695,449.1197766175251"
"1.5640568228394405,1.1775297235428797,1.801008793064781,2.364142206337298","245.10512585268182,103.12590613790324,191.748174233543,296.0253240430478"
"1.1613010846328895,1.5144384897061323,1.6017527379397032,1.93101177056089","228.78120137217888,136.6458114775419,185.89544862638888,495.10924445223145"
"1.2397757542204497,2.0309708111710725,2.117764621808147,1.3692445524915766","294.6382689347049,135.01260689188896,275.6424922918997,350.01883160889054"
"2.2975913422556684,1.112604224433318,2.3660629656142316,2.2350593085662807","435.5594036039064,481.5505672207943,482.65477343958383,443.31981000311356"
"1.311225895987862,1.7867644757574492,1.1718177936439076,1.4457414386928573","446.09053198231766,459.79281887101774,144.14417195127362,468.87089196247524"
"2.055154633903043,1.2343713373707064,1.7534980326377516,2.031100011506906","221.4278110794761,118.78364362596426,181.96168404370718,471.52037971336347"
"2.016291527530165,2.0324579536828757,1.8009668341293001,1.2909287956775288","251.77578965105968,361.6288254460477,214.78774056480697,310.36907650529884"
"2.1465692350206345,1.349645046603464,1.22660851004194,1.466321486857893","484.06636184938867,388.6172509995486,421.1691721538751,158.93224920234064"
"2.0266989281151764,2.0928254042142176,1.0601266267122422,2.1073082792807796","470.0181590437285,385.81245944684485,133.80626169210342,356.1196932789458"
"2.46602130745912,2.1378350270691,2.4127882582903286,1.7809233936280062","140.9694817215223,400.1148459734382,254.39979450779026,472.67953448272203"
"1.358546913731503,2.0883479835104226,2.4364470621065575,2.280274255354197","105.62741506302378,306.283646064411,159.8549946749272,133.38006561851842"
"1.4623953929168798,2.012303479452267,1.22851856228094,1.4105645421339723","134.5742930151042,325.8467180361864,391.4673860477474,383.85737875564445"
"1.4794954115694057,1.6987132988413627,1.7243654148906922,1.880261343732231","173.52409976354414,130.45623870488788,479.90050266129265,223.47521745785346"
"2.197025288675232,1.8031661730721158,2.3724446281613254,1.6058627973591826","498.0855718484127,232.15303895912407,248.87403825763076,107.55861066146099"
"1.8483889696193447,1.6034315490352513,2.1585115756282818,1.3735849938014906","340.3346679813494,278.618522748119,459.2395797612378,198.59797440628745"
"1.1033637149956101,2.2005184088430525,2.036046268158222,2.0201365050611653","365.1627727317645,112.97889227753627,221.46747829891194,191.35887182007718"
"2.1111629046348095,1.8162442761396869,2.4411760044709863,2.229185948817191","498.99282097211574,443.25353364936984,219.60653665710322,230.01690817734408"
"2.298230948693712,1.1291555550783403,1.5728660387812052,1.018092876298677","476.73060375968277,337.34988635429374,330.8913561714295,414.1299787629344"
"2.4979690733702458,2.455569246882267,2.2260992003667357,1.4936130319928949","109.5785190729285,192.0623763716025,487.09538354982465,204.98998342460027"
"1.9144644884224482,2.47603606941254,1.566874581309325,2.1103921932323053","442.09555005648116,128.63213121819354,180.68850956273295,273.1916706185565"
"2.387229481399914,1.4426927363702813,2.3656690300233527,1.5310541270532758","109.66051921854584,103.72054341885932,303.12147294273825,363.60132178841536"
"2.163541784316882,1.6227241022384837,1.8740945150851216,2.117527308281909","111.70434864310495,106.05084288808845,419.5404641326205,371.99629542894985"
"1.328767592541278,1.545580408218202,1.7885742596696572,1.2207660158865397","192.40120914189242,285.94216667405783,358.0962865088717,116.1979495028489"
"1.0159588696413726,1.1806328004453492,1.3857944094243797,1.754142313137549","304.1721592716492,208.28186227604166,147.29672854347857,194.97505783317195"
"1.066282851887262,1.9446024940668665,1.418202242251865,1.1503566672363652","166.4079673310404,260.6119932558412,487.33165928413547,351.91346916651116"
"1.9928966068834422,1.585838867630324,1.75507650972085,2.3072665854582564","198.46601926469899,182.30251318177815,230.9977543087914,119.35483351027085"
"1.4696991771347505,1.1216319812444904,2.2636864593571433,1.0861032625355744","382.93425099773543,368.66979892864157,133.40816978891942,399.44867585699797"
"1.573933561324823,1.662103609716406,1.182725153070882,2.386662210543844","380.42652830749313,483.8656497064608,451.99475827701883,199.53597142400147"
"1.7119483153775497,1.8853346871302727,1.7377078129287318,1.7083912508715962","341.67202660654505,370.76967647054687,220.15235285599624,129.11089958999088"
"1.672998649158966,1.2170397223792921,2.3999874520470423,1.8310588663550675","369.9182591635817,468.4850347137647,470.7857541046989,150.66039017757208"
"1.005836855545987,2.23386607210271,1.91389172578278,1.3763488448947356","104.20506396895463,488.59939944471375,371.7316659779198,459.2030142926444"
"1.4938441262223086,1.516199442054506,2.0288049324300554,1.044109340968099","155.95441616372412,275.24138501907197,114.35603794295383,492.9465385743976"
"1.8351533101290323,2.356875362439304,2.302399308376603,1.948518073318893","251.50197013848498,199.71333518798744,321.7146721154541,297.39254137068815"
"1.3717100773444755,1.7401339893678585,1.137247754061087,1.8247998486810262","102.02105185634358,307.95727986487447,174.81476586778015,277.86893692165415"
"1.4888715789128382,1.4473720103780074,1.084337624733643,2.032222022947643","416.71280848983673,273.81572505406706,219.094134029006,131.62378240421066"
"1.192956563362745,2.1046492950493763,1.552499477402801,2.4401528037305225","348.21140824431154,344.67432503202593,329.8401165006527,398.61820298864177"
"1.815408905352384,1.3917004402085014,1.576023214565067,1.026041489323843","165.56318166919053,267.262876121082,336.8496291166458,388.9555618279272"
"2.052539685599001,1.6401466221061187,2.015229129369649,2.31218540152668","217.86165368040315,446.08916364861693,100.92700026131416,228.97231788494054"
"1.1368134686620244,2.0021059751425554,2.4999491338965045,2.1230812383567974","457.27308096067384,451.719710792382,485.6079842548657,267.23784638337037"
"1.573554787197533,2.284726126975761,2.182795796348681,1.3644628037857258","273.12635182141537,345.18405975991175,402.65832944703584,179.3768155037041"
"2.349118245054672,1.8315024021649098,1.8255179942596205,1.617695381595726","273.5682591973905,493.9957841280309,196.31655072577013,107.26113174948004"
"1.9135423660873707,2.1174861934890106,2.174217656881968,2.396841910722518","230.06741553217645,200.55919307153962,338.4242223822858,498.30527793416485"
"2.2144492635170754,2.311815270559408,1.3660034560063425,2.4487138481516975","333.57502980330025,369.9484381709143,158.32442943892838,372.8609498547309"
"1.4822658757923242,1.3250513895852647,1.7261667193395949,1.8933614031382298","247.41859914419834,374.63637201879624,318.8424347463836,112.83324556407459"
"1.2583313808014316,1.5922247487670576,2.381093598346126,1.4957902159714092","322.6628765971828,449.31981019889747,139.4266817563369,253.34030951257992"
"1.9168520340566009,1.3022449964848828,1.9420714599535416,1.0118874687801092","265.9912777370556,173.70329303329555,406.3578894608489,492.9257666562401"
"2.341871367927417,1.3793497779473953,1.816595027189337,1.2085854699132375","267.71861936250605,365.63737438941143,272.74165802684934,407.6762289662406"
"2.3513766419229443,2.2613377656413567,2.2783028265578853,2.4570369908343306","227.33054108061222,448.8623323898675,491.4672462940435,379.9925758355057"
"1.5482222805598336,2.1302914928749477,1.5848721243816313,1.2287589421708518","192.09064294672262,481.11491932010256,262.18602999081145,181.2716995044056"
"1.0082119208640923,1.0885609356625994,2.1150008961186746,1.8133466833501977","359.2995441827417,430.14777654879373,345.22804730553594,235.41998089298116"
"2.4573678968846777,1.1774637778103259,1.483463647720127,1.652538502071413","175.4647673240485,270.09676491779834,338.41127810355295,414.30960423200685"
"1.6926385745592687,1.040269312216855,2.1053742418093417,1.4974120014826475","340.24732146385816,306.9973223622728,446.40730708674,399.2918888672811"
"2.472593920667255,2.0835509896882387,1.035039564402107,1.4955945661850634","385.37711775063804,121.84724981127437,103.5552357903684,168.58117931587083"
"1.4299200109805823,1.392512368636012,2.307440336437128,1.563796039239482","178.44068158263116,339.20594679404763,254.8967035393286,145.7768717379631"
"1.0895728609158943,1.0862724179684822,2.2174163827423357,1.2814649968235807","483.4506441787037,311.4043339750033,481.42159521592305,400.50188984711275"
"2.3169301304697045,1.9683736967439738,1.634931041305685,2.310983770028402","352.21445204554175,404.8015973798207,284.1717664828759,400.3483488747888"
"1.2998918368479588,1.9568948828505346,2.278116514326377,1.5185793928645968","387.0209589370426,376.6059570276309,203.74172248798845,424.0287193405006"
"1.8659059286123099,1.6360050800950448,2.123747230817242,2.1348539737521226","108.63915414145482,460.020832657616,416.926033908938,491.5839525280433"
"2.0743432483273088,1.8218550083246476,2.0145714962083985,1.7440147010092728","475.5430123291728,279.06549543119627,223.1408450797178,435.27989810390767"
"2.4511901819876725,1.1154706795813605,1.891054418405148,2.3533646256649745","323.12879600505426,356.10212042913173,190.82178761103398,146.34252539189595"
"2.138020195418136,1.8417743443435128,2.2193914498703675,1.1317715411429132","279.6058600290736,292.25596839676723,158.5290782861213,218.96720272590767"
"1.7379614957480618,1.0664377944662693,2.0677373318704975,1.221992719726037","351.5137960174959,215.61173385241474,390.5115460771422,478.1187970627963"
"2.3191002769256306,1.4589404663964696,2.284186849919359,2.332861331408763","353.46012240941604,253.90118290496582,145.32512647607047,434.232099161362"
"1.621194825081401,1.8914244202565889,1.3196646433061612,1.7110161921356326","488.4171037992391,225.97371428476532,392.7101274722835,146.71342104225573"
"2.0162608355375538,2.15525188599969,1.1227439254693383,2.3327978569253425","142.33287946473175,453.9480817462163,268.2746401464857,336.413184835922"
"1.038862556228569,1.374865593580946,2.0363868632258355,2.1578428145551536","332.32915746152366,195.16142776517398,383.1482719372412,308.2998520315684"
"1.550498038725882,1.0874547596612791,2.1923548853698156,2.441703936256147","278.1442895551662,255.44749129295963,212.7457539430701,360.9370647355427"
"2.4652150362470118,2.3599059283254045,2.438499244827468,2.4412109473960353","287.49305916613105,367.11795679316936,362.73301931368,457.09676516846105"
"1.658800544777746,1.7376618596362876,1.2641951515472314,1.5847999180569936","270.55391845933667,457.7095679364241,215.11150846583314,385.92556306046555"
"1.7552017573320235,2.422978553917371,1.041854056191089,1.7719923087069447","459.6798282575842,398.58349933611026,175.8391704828216,305.54055321505496"
"1.3810092960625493,2.202435733897736,1.1771617882563863,1.2995681722679508","220.85152734871482,314.35244161757237,488.29397759486454,180.1690826480434"
"2.074645749164405,2.046996842117884,2.429517986341022,1.0405390438008604","309.71310507099463,125.79690465147539,396.0935459361086,348.9518822949569"
"2.240816517762443,1.2658203099385528,1.44192130258139,2.47548067716465","378.83785581384586,236.4458317001885,447.96060596729023,491.12550127389306"
"1.1535021572220274,2.16253025298965,2.1718696509942745,2.1028194689421227","211.5516045631272,195.3622671748334,280.4951241679861,266.6440912569624"
"2.4731626006358027,2.3850703085428955,2.128728122226624,2.215386280417296","121.30762769813276,212.8931158469404,152.8961232023339,238.58252128371848"
"1.8007578331886056,2.035929211945236,2.039801745217379,1.5105696276806437","413.12627094381827,414.224757527897,416.12503454543804,337.92110793706075"
"1.0821742595749928,1.163491433087842,1.6737564907476024,1.7099573956289476","479.32595315361255,216.63949298405902,214.3541431044955,475.7936997681512"
"2.3845667968096977,2.305234454600435,2.477977414327695,1.6112711741394674","330.7702404051416,100.36026480503844,184.340678072168,289.6044687359957"
"2.489635902773648,1.1601637101926163,2.4244750289906123,2.4946347735843992","485.06263670910215,313.3329490194137,207.52955710284735,318.49894532522035"
"1.5069997715098888,2.499564055198503,2.3226974310724455,1.1510139843119949","353.30658589835457,236.17360140473633,139.87223604204738,401.24435457606995"
"1.1311316367044806,1.7466303179551281,1.7343145839118577,1.1787359975119456","338.0937137850184,476.6009531674448,457.51476328277374,349.3277055868608"
"2.288739952992315,1.7393502272854622,1.2426822701550535,1.4856616217372163","440.73660235868323,266.00095492434923,225.70644484384098,327.7824727756355"
"2.215033076916839,1.9328436030062779,2.0618185417676984,1.454163330000596","477.5067665383202,264.4572300522957,351.2740806794229,353.47330489795513"
"2.26194078272928,1.7398973205698618,1.3254210548175323,1.891005599648697","314.36522602694004,474.4875775414075,106.24424488376208,324.0570800825393"
"1.251718503709074,2.4362666161333317,1.543899943165603,1.3706763780237463","255.60830191761568,250.69756034534868,121.73858148474781,460.6862765274518"
"2.156347798369995,1.0166211220880395,1.3414063704484744,1.1265197220418197","160.01841670215998,354.82691702699464,230.85020717190844,359.36498623361166"
"2.3225258470913195,1.8112153844425534,2.063970381206386,1.0921882354459576","357.48307981230863,428.2421254484318,150.3037967655962,470.05449120445604"
"1.8558950227851752,1.4719550329761273,1.815340214672306,2.073813713329313","462.2861180311757,173.31615538647156,468.8529313149334,238.38263120146954"
"1.3058787788410213,1.3043016867728978,1.602692507860998,1.5531174153177507","293.4110911824455,238.20524602451863,221.57362947610545,471.11938066020156"
"1.2837158003320133,2.4867707114833415,1.2160174525462155,1.5470824329855983","436.9537039475467,458.4877815449709,454.61502516139916,151.11665719069558"
"1.8073517395565863,1.555623944416084,2.0390405816801938,1.1082428812457894","263.9940173242752,155.1678586893413,133.38740557459448,234.92820651264665"
"2.2080474757979642,1.4191653075632313,1.03419532160316,1.2178756883625066","140.65531502014946,310.4370940001872,410.0582850718367,185.8359878144072"
"1.2394227861572271,1.9712458977368041,1.151994866497666,1.8947756950368415","385.2773326898721,418.6631108651768,309.2580039982164,162.84680700678123"
"2.206764515622318,1.5467008258901571,1.911965545436002,2.231161281201884","224.97381692653994,182.8696569291963,199.98669916410847,279.74931587907196"
"2.326840260757118,2.2838820451214676,1.8971465414818929,1.4120697457907452","459.5107348941404,402.01164906962464,261.6121709310502,205.2798351201846"
"1.6639675905812576,1.7036500155550085,1.6048672058224507,1.3629014207631445","224.72303616525036,177.3624946338436,460.91860889505887,253.02193867142697"
"1.8262052386463434,1.195336063640817,1.5468801095221163,1.4297356276979993","141.32496043088216,240.7066888857265,454.97908635459146,378.25380026492536"
"1.5166300842334568,2.037984471430134,1.9928649147980653,1.401730104578249","259.8758158552829,155.45451340417648,400.5338621392789,166.51700133851165"
"1.0098701694123093,2.120066899032116,2.006888348697823,2.1935058010715105","426.3763430200754,452.0394806403352,311.4314783721368,231.65694079338067"
"2.2750106605560356,1.7595195462272666,2.011609638053643,1.0729535455454935","364.0300147647159,231.83509411765849,163.88296068387888,158.44128309034477"
"1.0463582511319884,1.276610661939741,1.4270590513444046,2.068999441628001","457.3532541487352,398.02032447427854,497.02168074358167,442.429121905198"
"2.471682050900548,1.0693309715812427,1.2494596130246118,1.9537133236809783","393.4882003582395,187.7516763226147,404.0802448657392,350.3922105449809"
"1.5121969599065148,2.36207682122466,1.6678250935197163,2.043063286630306","175.04571870334985,334.51967454810097,404.9495177008304,306.46184172288514"
"1.2219487315587558,2.018068228760748,1.19714746234711,2.4150797475229497","490.71777108359976,310.1461559619132,402.7822766799743,195.94512281930042"
"1.2583537730773744,1.6563196568816423,2.367451062449219,1.511403058855521","279.90386190301723,348.0657889968576,413.59773236988826,249.6984981389102"
"1.375328807524177,1.6357555794332805,1.2926359433395265,2.2054159202645596","171.6282988417483,439.7331300351921,384.52923502746796,213.6081753431386"
"1.2297896663128438,1.079710489388693,1.5687429586223156,2.3079568886739406","264.6750573139476,477.66238850498087,172.01444469353186,320.1025340483851"
"1.0025001824198219,1.8636998214524751,1.8796602692790096,2.3429299353217656","423.9628604877174,274.9808464652432,332.4922809758218,159.88131133351314"
"2.4543045859474706,2.097932237622988,1.269969439670232,1.3004417515827225","134.81810691452844,217.45328916076176,341.95614542967974,196.88255911428607"
"2.224217193474103,1.7504687803617909,1.7432468707594377,1.8803167020137717","164.04288966281695,166.46198701210432,316.10770264163784,120.68741873380522"
"1.3168867136395668,1.907080773622695,2.3948376449880655,1.0136696699613272","280.5814686210508,301.95279264247074,157.08381307404875,148.63171587950666"
"1.5234700725152277,1.492588558475834,1.8635105851316038,1.8139622331112997","226.53304205414526,458.56020651909097,112.23454396624142,210.8163951255346"
"1.0452056595651995,2.3166169626746123,1.405955124940256,1.9641377462921825","460.3826914086723,294.07078147982,418.64464985255665,399.00763924521624"
"2.0224406454852497,1.4404935439229654,1.4283568189176337,1.0311455725585406","469.0067467660118,198.05969489648294,498.809689763824,261.92353357303045"
"2.3138713015064942,1.802400834618439,1.947488215566906,2.21717592602054","449.249875836521,328.1204661953244,223.44559921783906,199.02456165004975"
